run,ridge_best_lambda,lasso_best_lambda
0,1e-06,0.0001
1,0.0001,1e-05
2,1e-06,1e-05
3,0.0001,1e-05
4,1e-06,1e-06
5,0.0001,1e-05
6,0.0001,1e-05
7,1e-06,1e-05
8,1e-06,0.0001
9,0.0001,0.0001
10,0.0001,0.0001
11,1e-06,1e-06
12,1e-06,1e-05
13,1e-06,1e-06
14,0.0001,1e-06
15,1e-05,0.0001
16,0.0001,1e-05
17,1e-06,0.0001
18,0.0001,1e-06
19,1e-06,1e-06
20,1e-06,1e-05
21,0.0001,1e-06
22,0.0001,0.0001
23,0.0001,1e-05
24,0.0001,0.0001
25,0.0001,1e-06
26,0.0001,0.0001
27,1e-06,1e-05
28,1e-06,1e-05
29,1e-06,1e-06
