method,eta,batch_mode,seed,mean_lastN_train,mean_lastN_val,N
adagrad,0.0001,full,42,0.1396279891466625,0.1547600933898406,50
adagrad,0.0001,full,1337,0.13222792200187153,0.15482955717322042,50
adagrad,0.0001,full,31415,0.16610555683725742,0.19712061186613042,50
adagrad,0.0001,sgd,42,0.1384589632882845,0.1535599915991747,50
adagrad,0.0001,sgd,1337,0.13092114317596637,0.15339256523751862,50
adagrad,0.0001,sgd,31415,0.12135551053052404,0.15367246140950636,50
adagrad,0.0003,full,42,0.1391303040484018,0.15420054931471758,50
adagrad,0.0003,full,1337,0.13169073797380862,0.1542499147216832,50
adagrad,0.0003,full,31415,0.12195550561275746,0.15426017174183457,50
adagrad,0.0003,sgd,42,0.13527043408945638,0.15016422895438597,50
adagrad,0.0003,sgd,1337,0.1277668438084374,0.14988712976485416,50
adagrad,0.0003,sgd,31415,0.11888036130689555,0.1506476021462004,50
adagrad,0.001,full,42,0.1381238815015376,0.15293816349707562,50
adagrad,0.001,full,1337,0.1302320027992799,0.15253014193440598,50
adagrad,0.001,full,31415,0.12112031745419603,0.15293175206451945,50
adagrad,0.003,full,42,0.15046514661363317,0.16267671549548685,50
adagrad,0.003,full,1337,0.1313069982310655,0.15241341805949177,50
adagrad,0.003,full,31415,0.1259153030112368,0.15564432747480914,50
adagrad,0.01,full,42,0.4587103441843422,0.4388126727681676,50
adagrad,0.01,full,1337,0.308597147071837,0.3098100712458924,50
adagrad,0.01,full,31415,0.9945074819242903,0.9731825635900782,50
adagrad,0.03,full,42,19.702229189950067,18.10407324682044,50
adagrad,0.03,full,1337,26.20946108356018,23.884319924373244,50
adagrad,0.03,full,31415,39.820842717116506,36.895580454583936,50
adagradmomentum,0.0001,full,42,0.1370381258827682,0.15196776938672554,50
adagradmomentum,0.0001,full,1337,0.1296223193218596,0.15199769440929287,50
adagradmomentum,0.0001,full,31415,0.12012032313711693,0.15213966037282473,50
adagradmomentum,0.0001,sgd,42,0.1149042059183286,0.12790997032975507,50
adagradmomentum,0.0001,sgd,1337,0.11269611636655176,0.13395768417385015,50
adagradmomentum,0.0001,sgd,31415,0.10744086376366058,0.13679002582878658,50
adagradmomentum,0.0003,full,42,0.13053293925405177,0.14483698953674495,50
adagradmomentum,0.0003,full,1337,0.12417184646748149,0.14604048536521685,50
adagradmomentum,0.0003,full,31415,0.11497779969838011,0.1456810114480679,50
adagradmomentum,0.0003,sgd,42,0.018130605904708937,0.01916838451070924,50
adagradmomentum,0.0003,sgd,1337,0.018202330722182875,0.026269614244055935,50
adagradmomentum,0.0003,sgd,31415,0.0210778874323858,0.027337125917019624,50
adagradmomentum,0.001,full,42,0.1355324810207921,0.1440072700114417,50
adagradmomentum,0.001,full,1337,0.11457017720734866,0.13237996691473342,50
adagradmomentum,0.001,full,31415,0.10873244432502036,0.13204569881505251,50
adagradmomentum,0.003,full,42,1.0893281056888322,1.0271318201620925,50
adagradmomentum,0.003,full,1337,0.20585182384060616,0.20821608275200248,50
adagradmomentum,0.003,full,31415,0.6384565374426209,0.5844586011180857,50
adagradmomentum,0.01,full,42,13.430395070123122,12.385112346384723,50
adagradmomentum,0.01,full,1337,11.748381127278702,10.725722490968254,50
adagradmomentum,0.01,full,31415,14.539865404758762,12.88455161613121,50
adagradmomentum,0.03,full,42,43.67232667442297,39.33248246864794,50
adagradmomentum,0.03,full,1337,0.11144629800704227,0.13100434749197284,50
adagradmomentum,0.03,full,31415,336.6332546156233,290.4933305833457,50
adam,0.0001,full,42,0.1387222559366674,0.15376635531318855,50
adam,0.0001,full,1337,0.13132298009612878,0.15383740656938907,50
adam,0.0001,full,31415,0.1215618682689499,0.15384461445245642,50
adam,0.0001,sgd,42,0.10618048468802349,0.11861419875750075,50
adam,0.0001,sgd,1337,0.09819476326461173,0.11782005977681895,50
adam,0.0001,sgd,31415,0.08189190721588022,0.10534582685311071,50
adam,0.0003,full,42,0.13773329289952724,0.1523960763224225,50
adam,0.0003,full,1337,0.13014713765655414,0.15227795014194215,50
adam,0.0003,full,31415,0.12099631150436792,0.15263286140648225,50
adam,0.0003,sgd,42,0.01959509234570054,0.022981134861052816,50
adam,0.0003,sgd,1337,0.020891564815028095,0.019584894523255854,50
adam,0.0003,sgd,31415,0.02464603213258447,0.024902881468830507,50
adam,0.001,full,42,0.14996150136647757,0.16244628946528622,50
adam,0.001,full,1337,0.13959682518343103,0.159105306172038,50
adam,0.001,full,31415,0.13825527029783768,0.16669410315053818,50
adam,0.003,full,42,0.3519493159863984,0.34885608494900794,50
adam,0.003,full,1337,0.3620800417758359,0.3622378114399149,50
adam,0.003,full,31415,0.38059111940615914,0.38744871583550916,50
adam,0.01,full,42,147.19805872712385,137.92725831274436,50
adam,0.01,full,1337,278.59617525294993,253.28422410709936,50
adam,0.01,full,31415,309.4597692758165,282.3547379153331,50
adam,0.03,full,42,1572156.818171536,1440941.4273248834,50
adam,0.03,full,1337,865758.781135698,787826.7732636688,50
adam,0.03,full,31415,473025.98567813577,437901.7459324859,50
constant,0.0001,full,42,0.1402641857722737,0.15581227006164797,50
constant,0.0001,full,1337,0.13307416873526023,0.15604872108026885,50
constant,0.0001,full,31415,0.15649389291694368,0.1884521136377194,50
constant,0.0001,sgd,42,0.1389605402725604,0.15407914182916937,50
constant,0.0001,sgd,1337,0.1315774660959944,0.15412401154682712,50
constant,0.0001,sgd,31415,0.12179019828437554,0.154173380955144,50
constant,0.0003,full,42,0.13955284243491764,0.15471614895485103,50
constant,0.0003,full,1337,0.13215192126646536,0.154763224649101,50
constant,0.0003,full,31415,0.12224019846510938,0.1547971449685302,50
constant,0.0003,sgd,42,0.1373402992549385,0.15233341882029597,50
constant,0.0003,sgd,1337,0.12999615463115974,0.15238197222086344,50
constant,0.0003,sgd,31415,0.12055736195492858,0.1526708776360498,50
constant,0.001,full,42,0.13897422888968433,0.15409249515841242,50
constant,0.001,full,1337,0.13159590293170856,0.1541522787845663,50
constant,0.001,full,31415,0.12179066994067803,0.1541747039655757,50
constant,0.003,full,42,0.13734232069607402,0.15233255366789566,50
constant,0.003,full,1337,0.1299972784627298,0.1523932286643993,50
constant,0.003,full,31415,0.12056084758105083,0.1526773478206657,50
constant,0.01,full,42,0.13183059377799505,0.14637444305722233,50
constant,0.01,full,1337,0.12458513978482799,0.14643289252340208,50
constant,0.01,full,31415,0.1163889417582341,0.14760070212287227,50
constant,0.03,full,42,1.943651070936642e+18,1.834491152927454e+18,50
constant,0.03,full,1337,2.8975245776498504e+18,2.628854033087976e+18,50
constant,0.03,full,31415,2.915592267960152e+18,2.753025116694175e+18,50
momentum,0.0001,full,42,0.1389970390455795,0.15411656567242038,50
momentum,0.0001,full,1337,0.13161493497074597,0.15417279105140785,50
momentum,0.0001,full,31415,0.12181219363321283,0.15420077510674987,50
momentum,0.0001,sgd,42,0.13183164850400075,0.14637478644469326,50
