method,eta,batch_mode,seed,mean_lastN_train,mean_lastN_val,N,all_nan
adagrad,1e-08,full,42,2.2580310796330427,1.922757299017944,50,False
adagrad,1e-08,full,1337,2.968210776863771,2.4230895097551493,50,False
adagrad,1e-08,full,31415,2.2999927042998487,2.062895972883522,50,False
adagrad,1e-08,sgd,42,2.250027362891215,1.9164455165726222,50,False
adagrad,1e-08,sgd,1337,2.9587566347729637,2.415493198001944,50,False
adagrad,1e-08,sgd,31415,2.29268647280158,2.0565250540327646,50,False
adagrad,1.7782794100389228e-08,full,42,2.257306902852242,1.9221838019985282,50,False
adagrad,1.7782794100389228e-08,full,1337,2.96729596243106,2.4223533928493284,50,False
adagrad,1.7782794100389228e-08,full,31415,2.2992751624450602,2.062278240891587,50,False
adagrad,1.7782794100389228e-08,sgd,42,2.2430895965923088,1.91097153805233,50,False
adagrad,1.7782794100389228e-08,sgd,1337,2.950499440190552,2.4088576367855135,50,False
adagrad,1.7782794100389228e-08,sgd,31415,2.286294187098254,2.050958880671227,50,False
adagrad,3.162277660168379e-08,full,42,2.25601946286117,1.9211642318797928,50,False
adagrad,3.162277660168379e-08,full,1337,2.9656695694705877,2.4210446981976257,50,False
adagrad,3.162277660168379e-08,full,31415,2.2979994892106173,2.061180006609881,50,False
adagrad,3.162277660168379e-08,sgd,42,2.230786238085685,1.9012631475384172,50,False
adagrad,3.162277660168379e-08,sgd,1337,2.935849917872761,2.3970853270503936,50,False
adagrad,3.162277660168379e-08,sgd,31415,2.274952193032994,2.041082366206237,50,False
adagrad,5.6234132519034905e-08,full,42,2.2537311373443227,1.9193519981969018,50,False
adagrad,5.6234132519034905e-08,full,1337,2.9627786617218153,2.4187185070557318,50,False
adagrad,5.6234132519034905e-08,full,31415,2.2957319871530872,2.0592278797213077,50,False
adagrad,5.6234132519034905e-08,sgd,42,2.2090146341075614,1.8840806619117487,50,False
adagrad,5.6234132519034905e-08,sgd,1337,2.9099066286459396,2.3762379771497293,50,False
adagrad,5.6234132519034905e-08,sgd,31415,2.2548628620771414,2.0235877541027962,50,False
adagrad,1e-07,full,42,2.2496653412319074,1.9161320180240724,50,False
adagrad,1e-07,full,1337,2.957641846069721,2.414585157277866,50,False
adagrad,1e-07,full,31415,2.2917029015036188,2.055759110547636,50,False
adagrad,1e-07,sgd,42,2.1706371676486707,1.8537835006351278,50,False
adagrad,1e-07,sgd,1337,2.8641120524174255,2.3394405421039703,50,False
adagrad,1e-07,sgd,31415,2.2193909497398887,1.9926942249908448,50,False
adagrad,1.7782794100389227e-07,full,42,2.242446241240821,1.9104144591261305,50,False
adagrad,1.7782794100389227e-07,full,1337,2.948519880436072,2.4072452379325178,50,False
adagrad,1.7782794100389227e-07,full,31415,2.2845480744992877,2.049599074236363,50,False
adagrad,1.7782794100389227e-07,sgd,42,2.1034591119899044,1.8007206034955048,50,False
adagrad,1.7782794100389227e-07,sgd,1337,2.783747841526503,2.274871307276076,50,False
adagrad,1.7782794100389227e-07,sgd,31415,2.157109738320603,1.938441733355941,50,False
adagrad,3.162277660168379e-07,full,42,2.2296435045810794,1.900273801053094,50,False
adagrad,3.162277660168379e-07,full,1337,2.932338705096344,2.3942254647333048,50,False
adagrad,3.162277660168379e-07,full,31415,2.271856453994073,2.038671383230089,50,False
adagrad,3.162277660168379e-07,sgd,42,1.9873591699065312,1.708921097595326,50,False
adagrad,3.162277660168379e-07,sgd,1337,2.6442070273427505,2.162775525234822,50,False
adagrad,3.162277660168379e-07,sgd,31415,2.048874542830811,1.8441274736418136,50,False
adagrad,5.62341325190349e-07,full,42,2.2069867635899065,1.8823254346243539,50,False
adagrad,5.62341325190349e-07,full,1337,2.903691150722176,2.371175838079015,50,False
adagrad,5.62341325190349e-07,full,31415,2.2493873108136913,2.0193229174894247,50,False
adagrad,5.62341325190349e-07,sgd,42,1.7914448301393338,1.5537037162947058,50,False
adagrad,5.62341325190349e-07,sgd,1337,2.4066143789833405,1.9719755925710782,50,False
adagrad,5.62341325190349e-07,sgd,31415,1.86433997631369,1.683225297507991,50,False
adagrad,1e-06,full,42,2.1670445145865322,1.8506752638104416,50,False
adagrad,1e-06,full,1337,2.8531490546911407,2.330512880393647,50,False
adagrad,1e-06,full,31415,2.209747360332564,1.9851815599782396,50,False
adagrad,1e-06,sgd,42,1.4759090552992689,1.3026675238800363,50,False
adagrad,1e-06,sgd,1337,2.0168875262904944,1.6592109211664308,50,False
adagrad,1e-06,sgd,31415,1.5611434024539248,1.418525364916226,50,False
adagrad,1.778279410038923e-06,full,42,2.0971134992215226,1.7952348934723252,50,False
adagrad,1.778279410038923e-06,full,1337,2.7645363105506884,2.259229838116047,50,False
adagrad,1.778279410038923e-06,full,31415,2.140256685949434,1.92530820798112,50,False
adagrad,1.778279410038923e-06,sgd,42,1.0182005455863603,0.9341647614784967,50,False
adagrad,1.778279410038923e-06,sgd,1337,1.4242671312932953,1.1843259826280255,50,False
adagrad,1.778279410038923e-06,sgd,31415,1.1000293592792718,1.0148464744109638,50,False
adagrad,3.162277660168379e-06,full,42,1.9762144362479166,1.6992995444438457,50,False
adagrad,3.162277660168379e-06,full,1337,2.61093853605979,2.135699974395274,50,False
adagrad,3.162277660168379e-06,full,31415,2.0198430726894596,1.821489037626917,50,False
